x,y,component
5,24,-96.81745030750477
5,25,-84.7451014793528
5,26,-74.58928113459262
5,27,-65.98605879697587
5,28,-58.65101049068958
5,29,-52.3597568960218
5,30,-46.93373858393564
5,31,-42.22970111672336
5,32,-38.13184009794647
5,33,-34.54587509480446
5,34,-31.3945372198295
5,35,-28.614103161504943
5,36,-26.151711143085063
5,37,-23.963266342892787
5,38,-22.011794405931195
5,39,-20.266138276165183
6,0,-7943.6522496962025
6,1,-10336.609770490257
6,2,-12071.268668407374
6,3,-12173.865542085607
6,4,-10568.794803694205
6,5,-8180.940727016256
6,6,-5933.592674682428
6,7,-4200.441300833271
6,8,-2976.0415096880984
6,9,-2137.290057609628
6,10,-1564.0326045921768
6,11,-1167.8022373316867
6,12,-889.2202229057567
6,13,-689.5987629939231
6,14,-543.8089090191645
6,15,-435.3798487755364
6,16,-353.3571488106764
6,17,-290.3316573949001
6,18,-241.20425655474787
6,19,-202.40515048034874
6,20,-171.39393221592667
6,21,-146.3345649267202
6,22,-125.88070583172531
6,23,-109.03165246443682
6,24,-95.034179921909
6,25,-83.31465538309185
6,26,-73.4314278930073
6,27,-65.04099172182819
6,28,-57.873635719599875
6,29,-51.715711526817124
6,30,-46.39657753528033
6,31,-41.77888478901408
6,32,-37.75127804906241
6,33,-34.222860582032254
6,34,-31.118959719951725
6,35,-28.37786075042403
6,36,-25.94826804904694
6,37,-23.78731697272954
6,38,-21.859006174240033
6,39,-20.132953261523166
7,0,-5249.964769783889
7,1,-6393.567527558246
7,2,-7155.988617078551
7,3,-7206.1523966129225
7,4,-6515.624628999403
7,5,-5389.528811773389
7,6,-4200.441300833271
7,7,-3172.7895197583416
7,8,-2371.4305220070405
7,9,-1776.7191980741009
7,10,-1343.8281607059014
7,11,-1029.5534287825453
7,12,-799.9459731557712
7,13,-630.3685972875841
7,14,-503.5069735400766
7,15,-407.3133513328073
7,16,-333.39325953695044
7,17,-275.855197352413
7,18,-230.52169097388983
7,19,-194.39583564691648
7,20,-165.3012975863219
7,21,-141.63826848788082
7,22,-122.21668682111068
7,23,-106.14112644491934
7,24,-92.73048187717544
7,25,-81.46130329420659
7,26,-71.92736948516398
7,27,-63.810528882667704
7,28,-56.859444176006605
7,29,-50.87393967926453
7,30,-45.69336173225843
7,31,-41.18784241103064
7,32,-37.251684044308085
7,33,-33.79830732440576
7,34,-30.75636244341813
7,35,-28.066712646369293
7,36,-25.680077506998757
7,37,-23.555178938932954
7,38,-21.65727313252066
7,39,-19.956980828396915
8,0,-3538.604925478638
8,1,-4111.013992345146
8,2,-4470.051252104165
8,3,-4494.091728775737
8,4,-4172.683214162018
8,5,-3615.5864806537684
8,6,-2976.0415096880984
8,7,-2371.4305220070405
8,8,-1858.6064611526895
8,9,-1449.2335300356033
8,10,-1132.6043105967935
8,11,-891.0647130250029
8,12,-707.3740028464318
8,13,-567.2262420956507
8,14,-459.57053953483677
8,15,-376.1518297959357
8,16,-310.891965374301
8,17,-259.33356574716765
8,18,-218.2015329111743
8,19,-185.07657647297262
8,20,-158.15854389778042
8,21,-136.09680632871024
8,22,-117.86907182162462
8,23,-102.69464246035174
8,24,-89.97203383108706
8,25,-79.23382684812441
8,26,-70.11374992296784
8,27,-62.32248839931823
8,28,-55.62976282634603
8,29,-49.850943152171666
8,30,-44.83697017760512
8,31,-40.46670728698964
8,32,-36.64109198007253
8,33,-33.27863057001243
8,34,-30.311902830976763
8,35,-27.68483161747876
8,36,-25.35053601945939
8,37,-23.269632706096875
8,38,-21.40888378174422
8,39,-19.740114249726634
9,0,-2450.8628162986583
9,1,-2753.5098016217835
9,2,-2935.1681955944136
9,3,-2947.168421486714
9,4,-2785.4535116589723
9,5,-2493.38551874675
9,6,-2137.290057609628
9,7,-1776.7191980741009
9,8,-1449.2335300356033
9,9,-1170.8495501801272
9,10,-943.3497719349509
9,11,-761.4724498683215
9,12,-617.6025449497049
9,13,-504.1717316490204
9,14,-414.62050689500137
9,15,-343.62480534912453
9,16,-287.00750449345395
9,17,-241.54735760893274
9,18,-204.77916087946326
9,19,-174.8198061060479
9,20,-150.2283755474461
9,21,-129.8979823444644
9,22,-112.97384828335572
9,23,-98.79187131087193
9,24,-86.83273251876
9,25,-76.68761065758756
9,26,-68.03250535548064
9,27,-60.60893046293753
9,28,-54.20932481758543
9,29,-48.66596621017018
9,30,-43.84249741799176
9,31,-39.62740936062298
9,32,-35.92899856003615
9,33,-32.67144151902166
9,34,-29.79172021086187
9,35,-27.23719995270959
9,36,-24.96371027174102
9,37,-22.934015830588695
9,38,-21.11659155552169
9,39,-19.48463632737688
10,0,-1746.3269793360375
10,1,-1915.195778068685
10,2,-2013.3570916052067
10,3,-2019.681995726702
10,4,-1932.4780263560656
10,5,-1770.4359832841194
10,6,-1564.0326045921768
10,7,-1343.8281607059014
10,8,-1132.6043105967935
10,9,-943.3497719349509
10,10,-781.0608260840083
10,11,-645.6671947203861
10,12,-534.5297068044066
10,13,-444.07744800046913
10,14,-370.70333781488523
10,15,-311.17136815221187
10,16,-262.7494497994095
10,17,-223.2073044692638
10,18,-190.75833320274188
10,19,-163.98566841607706
10,20,-141.77073238105066
10,21,-123.23128608645307
10,22,-107.67053793085697
10,23,-94.53656164255717
10,24,-83.39046999856804
10,25,-73.88167874714185
10,26,-65.72876182763608
10,27,-58.704650251140414
10,28,-52.62517804028027
10,29,-47.34019744712425
10,30,-42.72666445003288
10,31,-38.68323654798138
10,32,-35.12603387592236
10,33,-31.985297948519715
10,34,-29.202745567081994
10,35,-26.72946328403116
10,36,-24.524224022103052
10,37,-22.552134855736586
10,38,-20.7835457568823
10,39,-19.193164927159536
11,0,-1278.164578662122
11,1,-1377.1505401011439
11,2,-1433.3376643725196
11,3,-1436.8558145042325
11,4,-1386.9464420727902
11,5,-1292.3102091851774
11,6,-1167.8022373316867
11,7,-1029.5534287825453
11,8,-891.0647130250029
11,9,-761.4724498683215
11,10,-645.6671947203861
11,11,-545.3342219342322
11,12,-460.14395101373077
11,13,-388.71117383743024
11,14,-329.235647859541
11,15,-279.8739115757216
11,16,-238.9261646080341
11,17,-204.91113182723328
11,18,-176.5798320412321
11,19,-152.8997285108727
11,20,-133.02708722664477
11,21,-116.27685018362601
11,22,-102.09441221694071
11,23,-90.0310249904541
11,24,-79.72320138261068
11,25,-70.87587025383122
11,26,-63.248790979650956
11,27,-56.64568639507409
11,28,-50.9055881746327
11,29,-45.89595662593791
11,30,-41.50721124452423
11,31,-37.64837748122895
11,32,-34.24361469592458
11,33,-31.229439454919415
11,34,-28.552497980619854
11,35,-26.16777304959523
11,36,-24.037135409942483
11,37,-22.12816917648057
11,38,-20.41321579117985
11,39,-18.868592929571978
12,0,-958.5745351043968
12,1,-1019.1968566997987
12,2,-1052.9944384980195
12,3,-1055.0499397168528
12,4,-1025.0002893999615
12,5,-967.1747636706491
12,6,-889.2202229057567
12,7,-799.9459731557712
12,8,-707.3740028464318
12,9,-617.6025449497049
12,10,-534.5297068044066
12,11,-460.14395101373077
12,12,-395.0409593630912
12,13,-338.93552193753277
12,14,-291.0645921764867
12,15,-250.46270661566774
12,16,-216.13022194896112
12,17,-187.1249293885594
12,18,-162.60436286855855
12,19,-141.83897892613493
12,20,-124.20958640270494
12,21,-109.19724680504376
12,22,-96.37037866753815
12,23,-85.37160701596241
12,24,-75.90559514367752
12,25,-67.72835853744337
12,26,-60.63816685049661
12,27,-54.467945669470836
12,28,-49.07900732396561
12,29,-44.355916992870746
12,30,-40.202306973986154
12,31,-36.53747161847692
12,32,-33.293599255905306
12,33,-30.41352101729914
12,34,-27.84887780270047
12,35,-25.558625031752626
12,36,-23.507810212148577
12,37,-21.666571014041025
12,38,-20.009311814826038
12,39,-18.514024961198675
13,0,-734.6724293091978
13,1,-773.2573672268421
13,2,-794.4726372109984
13,3,-795.7270281106154
13,4,-776.8362936563608
13,5,-740.0820185173915
13,6,-689.5987629939231
13,7,-630.3685972875841
13,8,-567.2262420956507
13,9,-504.1717316490204
13,10,-444.07744800046913
13,11,-388.71117383743024
13,12,-338.93552193753277
13,13,-294.9618940352565
13,14,-256.58457332596566
13,15,-223.36376674603562
13,16,-194.7536396672479
13,17,-170.1840199179302
13,18,-149.10787634953567
13,19,-131.0256591537413
13,20,-115.49507841965057
13,21,-102.13233920884358
13,22,-90.60877942394099
13,23,-80.6453588706917
13,24,-72.00643903512481
13,25,-64.49364746172847
13,26,-57.940224711499035
13,27,-52.206019069666034
13,28,-47.1731638494505
13,29,-42.7424041131245
13,30,-38.83000824270694
13,31,-35.36518912692545
13,32,-32.28796017427431
13,33,-29.547357257258657
13,34,-27.099965814490755
13,35,-24.908700922432956
13,36,-22.941796296196323
13,37,-21.171965482529476
13,38,-19.57570483595496
13,39,-18.132713233313684
14,0,-573.9946690188245
14,1,-599.395972388696
14,2,-613.2111844973172
14,3,-614.0065064760137
14,4,-601.6834979026466
14,5,-577.5057999403198
14,6,-543.8089090191645
14,7,-503.5069735400766
14,8,-459.57053953483677
14,9,-414.62050689500137
14,10,-370.70333781488523
14,11,-329.235647859541
14,12,-291.0645921764867
14,13,-256.58457332596566
14,14,-225.8652290003498
14,15,-198.76494376527043
14,16,-175.01969684944677
14,17,-154.30660632931884
14,18,-136.28602767851314
14,19,-120.62735901605164
14,20,-107.02337292259448
14,21,-95.19694867105103
14,22,-84.90305315275896
14,23,-75.92793945536735
14,24,-68.08685934571116
14,25,-61.221105960870915
14,26,-55.19487696269678
14,27,-49.89223533125132
14,28,-45.21431047145921
14,29,-41.07680039655817
14,30,-37.407787974833994
14,31,-34.14585800486541
14,32,-31.23848890316166
14,33,-28.64068768056441
14,34,-26.31383626196127
14,35,-24.224718974706235
14,36,-22.34470393346448
14,37,-20.649054346852488
14,38,-19.11634905380066
14,39,-17.72799465273478
15,0,-456.14233986971595
15,1,-473.36684260145887
15,2,-482.65377024876557
15,3,-483.1751965165427
15,4,-474.8760906171401
15,5,-458.48714164095566
15,6,-435.3798487755364
15,7,-407.3133513328073
15,8,-376.1518297959357
15,9,-343.62480534912453
15,10,-311.17136815221187
15,11,-279.8739115757216
15,12,-250.46270661566774
15,13,-223.36376674603562
15,14,-198.76494376527043
15,15,-176.68277742599264
15,16,-157.02053873454864
15,17,-139.6138912209984
15,18,-124.26422588492257
15,19,-110.76147021793082
15,20,-98.89870530901405
15,21,-88.48081447552957
15,22,-79.3290086448333
15,23,-71.28263908353269
15,24,-64.19931620158228
15,25,-57.95403835809431
15,26,-52.437798717856175
15,27,-47.55596974554563
15,28,-43.22664893817847
15,29,-39.37907197263155
15,30,-35.952149251975186
15,31,-32.89315029636172
15,32,-30.156541349213864
15,33,-27.70297063083859
15,34,-25.498389920776276
15,35,-23.5132986185315
15,36,-21.72209582949526
15,37,-20.10252651850827
15,38,-18.635208844009377
15,39,-17.303231108938107
16,0,-367.9817983147897
16,1,-379.96985514475233
16,2,-386.3880539505626
16,3,-386.7401090063654
16,4,-380.99400595628765
16,5,-369.58846628405627
16,6,-353.3571488106764
16,7,-333.39325953695044
16,8,-310.891965374301
16,9,-287.00750449345395
16,10,-262.7494497994095
16,11,-238.9261646080341
16,12,-216.13022194896112
16,13,-194.7536396672479
16,14,-175.01969684944677
16,15,-157.02053873454864
16,16,-140.75342791787983
16,17,-126.15186195935392
16,18,-113.1102254327304
16,19,-101.50212766511073
16,20,-91.19330591404719
16,21,-82.05021035732973
16,22,-73.9453510747361
16,23,-66.76032805638255
16,24,-60.38727185182218
16,25,-54.72924002630564
16,26,-49.69996161257877
16,27,-45.22320215938415
16,28,-41.231932838370206
16,29,-37.6674229457911
16,30,-34.47833031725003
16,31,-31.619833643409272
16,32,-29.05283039530385
16,33,-26.74321096506099
16,34,-24.6612114443156
16,35,-22.78084258535861
16,36,-21.079389790234476
16,37,-19.536977674425078
16,38,-18.136192329120313
16,39,-16.861754509402328
17,0,-300.8539495818586
17,1,-309.39182586306123
17,2,-313.9364618877828
17,3,-314.1804026603279
17,4,-310.1043562391957
17,5,-301.9805975871919
17,6,-290.3316573949001
17,7,-275.855197352413
17,8,-259.33356574716765
17,9,-241.54735760893274
17,10,-223.2073044692638
17,11,-204.91113182723328
17,12,-187.1249293885594
17,13,-170.1840199179302
17,14,-154.30660632931884
17,15,-139.6138912209984
17,16,-126.15186195935392
17,17,-113.9116721636644
17,18,-102.84703857424304
17,19,-92.88813267470616
17,20,-83.95209143811837
17,21,-75.9505957072309
17,22,-68.79507628428884
17,23,-62.40009692184996
17,24,-56.68539341513886
17,25,-51.57695811627453
17,26,-47.00747084221465
17,27,-42.91630019680363
17,28,-39.249236894695784
17,29,-35.958072378045756
17,30,-33.000099939580195
17,31,-30.337589352552282
17,32,-27.93726740698958
17,33,-25.769823837797734
17,34,-23.80945336130765
17,35,-22.033438727676135
17,36,-20.421775963311006
17,37,-18.956840675624488
17,38,-17.62309296022146
17,39,-16.406817762388005
18,0,-248.92021319326417
18,1,-255.12650690319293
18,2,-258.41418772313176
18,3,-258.58714081003893
18,4,-255.63337175902822
18,5,-249.72686986925726
18,6,-241.20425655474787
18,7,-230.52169097388983
18,8,-218.2015329111743
18,9,-204.77916087946326
18,10,-190.75833320274188
18,11,-176.5798320412321
18,12,-162.60436286855855
18,13,-149.10787634953567
18,14,-136.28602767851314
18,15,-124.26422588492257
18,16,-113.1102254327304
18,17,-102.84703857424304
18,18,-93.46478628880963
18,19,-84.93079276674256
18,20,-77.19771227703897
18,21,-70.20977367275167
18,22,-63.90738020512072
18,23,-58.23035773467446
18,24,-53.120142037549044
18,25,-48.52116392554083
18,26,-44.38164749671914
18,27,-40.653992510197625
18,28,-37.294871927883264
18,29,-34.26514216593599
18,30,-31.529636823474437
18,31,-29.056893987850138
18,32,-26.81885168774254
18,33,-24.790534658067813
18,34,-22.94974736597946
18,35,-21.276782443143006
18,36,-19.754149648687317
18,37,-18.36632776311074
18,38,-17.099540017573556
18,39,-15.941552521866374
19,0,-208.1607037852367
19,1,-212.75524573135215
19,2,-215.17928936061847
19,3,-215.3044439550925
19,4,-213.1230415048853
19,5,-208.74919270272935
19,6,-202.40515048034874
19,7,-194.39583564691648
19,8,-185.07657647297262
19,9,-174.8198061060479
19,10,-163.98566841607706
19,11,-152.8997285108727
19,12,-141.83897892613493
19,13,-131.0256591537413
19,14,-120.62735901605164
19,15,-110.76147021793082
19,16,-101.50212766511073
19,17,-92.88813267470616
19,18,-84.93079276674256
19,19,-77.62102827535944
19,20,-70.93542652981137
19,21,-64.8411557825339
19,22,-59.29979410177669
19,23,-54.27020366986137
19,24,-49.71060971999965
19,25,-45.58004360596379
19,26,-41.83929439921655
19,27,-38.4514917198395
19,28,-35.38241954849855
19,29,-32.6006394166235
19,30,-30.07748293136713
19,31,-27.786958418920182
19,32,-25.705604413245858
19,33,-23.812313390167105
19,34,-22.088142086451935
19,35,-20.516119498407935
19,36,-19.081059824191495
19,37,-17.769384863605264
19,38,-16.568958448875108
19,39,-15.468934138442838
20,0,-175.7538242692254
20,1,-179.21132320671867
20,2,-181.02920788104586
20,3,-181.12144449424946
20,4,-179.4830069885327
20,5,-176.19049448379263
20,6,-171.39393221592667
20,7,-165.3012975863219
20,8,-158.15854389778042
20,9,-150.2283755474461
20,10,-141.77073238105066
20,11,-133.02708722664477
20,12,-124.20958640270494
20,13,-115.49507841965057
20,14,-107.02337292259448
20,15,-98.89870530901405
20,16,-91.19330591404719
20,17,-83.95209143811837
20,18,-77.19771227703897
20,19,-70.93542652981137
20,20,-65.15748307874401
20,21,-59.84686133578201
20,22,-54.98033072486226
20,23,-50.530865059303885
20,24,-46.469485718002645
20,25,-42.76662307993831
20,26,-39.39308658502108
20,27,-36.32072645769153
20,28,-33.52285895463898
20,29,-30.974514755512025
20,30,-28.652558399041045
20,31,-26.535716272026477
20,32,-24.60454187972809
20,33,-22.84133996789931
20,34,-21.23006538353103
20,35,-19.756208144780075
20,36,-18.406672819592547
20,37,-17.169657780514328
20,38,-16.034538029739764
20,39,-14.991753923010565
21,0,-149.6836282198041
21,1,-152.32413982406084
21,2,-153.7083824805022
21,3,-153.7774850046242
21,4,-152.52807818330706
21,5,-150.0126660870149
21,6,-146.3345649267202
21,7,-141.63826848788082
21,8,-136.09680632871024
21,9,-129.8979823444644
21,10,-123.23128608645307
21,11,-116.27685018362601
21,12,-109.19724680504376
21,13,-102.13233920884358
21,14,-95.19694867105103
21,15,-88.48081447552957
21,16,-82.05021035732973
21,17,-75.9505957072309
21,18,-70.20977367275167
21,19,-64.8411557825339
21,20,-59.84686133578201
21,21,-55.220490731185606
21,22,-50.94949747438811
21,23,-47.01714346812999
21,24,-43.40405995680434
21,25,-40.08945722392245
21,26,-37.052034839826234
21,27,-34.2706451667277
21,28,-31.724759184270045
21,29,-29.394777780411307
21,30,-27.262224950032568
21,31,-25.309852755304302
21,32,-23.52168191137245
21,33,-21.88299668087523
21,34,-20.380308437702823
21,35,-19.001298747697845
21,36,-17.734750019627707
21,37,-16.570469595614572
21,38,-15.499211468920384
21,39,-14.512598540690423
22,0,-128.48612576985678
22,1,-130.52979920633157
22,2,-131.59843522917163
22,3,-131.6509794253659
22,4,-130.6851269171096
22,5,-128.73755142023086
22,6,-125.88070583172531
22,7,-122.21668682111068
22,8,-117.86907182162462
22,9,-112.97384828335572
22,10,-107.67053793085697
22,11,-102.09441221694071
22,12,-96.37037866753815
22,13,-90.60877942394099
22,14,-84.90305315275896
22,15,-79.3290086448333
22,16,-73.9453510747361
22,17,-68.79507628428884
22,18,-63.90738020512072
22,19,-59.29979410177669
22,20,-54.98033072486226
22,21,-50.94949747438811
22,22,-47.20209249539136
22,23,-43.728745424995324
22,24,-40.51719663740007
22,25,-37.55332932024531
22,26,-34.82198018546166
22,27,-32.3075596330568
22,28,-29.994512926406667
22,29,-27.86765209225302
22,30,-25.912385045917134
22,31,-24.11486468368116
22,32,-22.462076895507035
22,33,-20.941882927443814
22,34,-19.54302840957374
22,35,-18.255128711581982
22,36,-17.068638086182517
22,37,-15.974808271977956
22,38,-14.965640799333391
22,39,-14.033836119560307
23,0,-111.08212964836248
23,1,-112.68317281672651
23,2,-113.51850459450864
23,3,-113.55899893299083
23,4,-112.80304973773615
23,5,-111.2767154819463
23,6,-109.03165246443682
23,7,-106.14112644491934
23,8,-102.69464246035174
23,9,-98.79187131087193
23,10,-94.53656164255717
23,11,-90.0310249904541
23,12,-85.37160701596241
23,13,-80.6453588706917
23,14,-75.92793945536735
23,15,-71.28263908353269
23,16,-66.76032805638255
23,17,-62.40009692184996
23,18,-58.23035773467446
23,19,-54.27020366986137
23,20,-50.530865059303885
23,21,-47.01714346812999
23,22,-43.728745424995324
23,23,-40.66147056501472
23,24,-37.8082342075958
23,25,-35.15992218236801
23,26,-32.706087183543254
23,27,-30.43550247601738
23,28,-28.336591748215053
23,29,-26.397754463780334
23,30,-24.607605116481945
23,31,-22.955143009690882
23,32,-21.429867027322935
23,33,-20.02184763880219
23,34,-18.721766267804526
23,35,-17.520930250379852
23,36,-16.411269953517365
23,37,-15.38532322611759
23,38,-14.436211196057744
23,39,-13.55760848452244
24,0,-96.6650872030975
24,1,-97.93332389109176
24,2,-98.5937331337137
24,3,-98.62532522164086
24,4,-98.0269620379841
24,5,-96.81745030750477
24,6,-95.034179921909
24,7,-92.73048187717544
24,8,-89.97203383108706
24,9,-86.83273251876
24,10,-83.39046999856804
24,11,-79.72320138261068
24,12,-75.90559514367752
24,13,-72.00643903512481
24,14,-68.08685934571116
24,15,-64.19931620158228
24,16,-60.38727185182218
24,17,-56.68539341513886
24,18,-53.120142037549044
24,19,-49.71060971999965
24,20,-46.469485718002645
24,21,-43.40405995680434
24,22,-40.51719663740007
24,23,-37.8082342075958
24,24,-35.273786711119094
24,25,-32.908435856527014
24,26,-30.70531328483406
24,27,-28.656579118155914
24,28,-26.75380670802957
24,29,-24.98828530672635
24,30,-23.35125278990615
24,31,-21.834070067989625
24,32,-20.42834781420374
24,33,-19.12603487723925
24,34,-17.919476415409353
24,35,-16.80144849969915
24,36,-15.765174749399135
24,37,-14.804329517139363
24,38,-13.913031239375904
24,39,-13.085828809694615
25,0,-84.62451506778405
25,1,-85.63935470944456
25,2,-86.16690881477581
25,3,-86.19183281326399
25,4,-85.71330772811079
25,5,-84.7451014793528
25,6,-83.31465538309185
25,7,-81.46130329420659
25,8,-79.23382684812441
25,9,-76.68761065758756
25,10,-73.88167874714185
25,11,-70.87587025383122
25,12,-67.72835853744337
25,13,-64.49364746172847
25,14,-61.221105960870915
25,15,-57.95403835809431
25,16,-54.72924002630564
25,17,-51.57695811627453
25,18,-48.52116392554083
25,19,-45.58004360596379
25,20,-42.76662307993831
25,21,-40.08945722392245
25,22,-37.55332932024531
25,23,-35.15992218236801
25,24,-32.908435856527014
25,25,-30.79613776989498
25,26,-28.818839532488223
25,27,-26.971300528588866
25,28,-25.247562335468498
25,29,-23.641220313299616
25,30,-22.145639830779068
25,31,-20.75412488087359
25,32,-19.460046586192128
25,33,-18.2569385117634
25,34,-17.138564952402653
25,35,-16.098967551153155
25,36,-15.132494805123258
25,37,-14.233818267854245
25,38,-13.39793858563207
25,39,-12.620183917879572
26,0,-74.49289899187312
26,1,-75.31256411269634
26,2,-75.73801274080196
26,3,-75.7578786542981
26,4,-75.37156416344907
26,5,-74.58928113459262
26,6,-73.4314278930073
26,7,-71.92736948516398
26,8,-70.11374992296784
26,9,-68.03250535548064
26,10,-65.72876182763608
26,11,-63.248790979650956
26,12,-60.63816685049661
26,13,-57.940224711499035
26,14,-55.19487696269678
26,15,-52.437798717856175
26,16,-49.69996161257877
26,17,-47.00747084221465
26,18,-44.38164749671914
26,19,-41.83929439921655
26,20,-39.39308658502108
26,21,-37.052034839826234
26,22,-34.82198018546166
26,23,-32.706087183543254
26,24,-30.70531328483406
26,25,-28.818839532488223
26,26,-27.044454456524303
26,27,-25.378887963281954
26,28,-23.81809557449361
26,29,-22.357495731339483
26,30,-20.99216429689159
26,31,-19.716991100507947
26,32,-18.526803573971687
26,33,-17.416462397683855
26,34,-16.38093373461306
26,35,-15.415342174959651
26,36,-14.515008012573139
26,37,-13.675471969906809
26,38,-12.892510009809838
26,39,-12.162140435704694
27,0,-65.90831879929576
27,1,-66.57604806232328
27,2,-66.92216582445032
27,3,-66.93815013178947
27,4,-66.62355909526867
27,5,-65.98605879697587
27,6,-65.04099172182819
27,7,-63.810528882667704
27,8,-62.32248839931823
